census_occ2010,onet_code
3060,29-1213.00
3060,29-1214.00
3060,29-1215.00
3060,29-1216.00
3060,29-1217.00
3060,29-1218.00
3060,29-1221.00
3060,29-1222.00
3060,29-1223.00
3060,29-1224.00
3060,29-1229.00
3060,29-1229.01
3060,29-1229.02
3060,29-1229.03
3060,29-1229.04
3060,29-1229.05
3060,29-1229.06
3060,29-1241.00
3060,29-1242.00
3060,29-1243.00
3060,29-1249.00
3110,29-1071.00
3110,29-1071.01
3120,29-1081.00
3140,29-1181.00
3150,29-1122.00
3150,29-1122.01
3160,29-1123.00
3200,29-1124.00
3210,29-1125.00
3210,29-1129.01
3210,29-1129.02
3220,29-1126.00
3230,29-1127.00
3235,29-1128.00
3245,29-1129.00
3250,29-1131.00
3255,29-1141.00
3255,29-1141.01
3255,29-1141.02
3255,29-1141.03
3255,29-1141.04
3256,29-1151.00
3257,29-1161.00
3258,29-1171.00
3260,29-1291.00
3260,29-1299.00
3260,29-1299.01
3260,29-1299.02
3300,29-2011.00
3300,29-2011.01
3300,29-2011.02
3300,29-2011.04
3300,29-2012.00
3300,29-2012.01
3310,29-1292.00
3320,29-2031.00
3320,29-2032.00
3320,29-2033.00
3320,29-2034.00
3320,29-2035.00
3400,29-2042.00
3400,29-2043.00
3420,29-2051.00
3420,29-2052.00
3420,29-2053.00
3420,29-2055.00
3420,29-2056.00
3420,29-2057.00
3420,29-2099.00
3500,29-2061.00
3510,29-2072.00
3510,29-9021.00
3520,29-2081.00
3535,29-2034.00
3535,29-2036.00
3535,29-2091.00
3535,29-2092.00
3535,29-2099.00
3535,29-2099.01
3535,29-2099.05
3535,29-9093.00
3540,19-5011.00
3540,19-5012.00
3540,29-9021.00
3540,29-9091.00
3540,29-9092.00
3540,29-9093.00
3540,29-9099.00
3540,29-9099.01
3600,31-1121.00
3600,31-1131.00
3600,31-1132.00
3600,31-1133.00
3610,31-2011.00
3610,31-2012.00
3620,31-2021.00
3620,31-2022.00
3630,31-9011.00
3640,31-9091.00
3645,31-9092.00
3646,31-9094.00
3647,31-9095.00
3648,31-9096.00
3649,31-9097.00
3655,31-9093.00
3655,31-9099.00
3655,31-9099.01
3655,31-9099.02
3700,33-1011.00
3710,33-1012.00
3720,33-1021.00
3730,33-1091.00
3730,33-1099.00
3740,33-2011.00
3750,33-2021.00
3750,33-2022.00
3800,33-3011.00
3800,33-3012.00
3820,33-3021.00
3820,33-3021.02
3820,33-3021.06
3820,33-3051.04
3830,33-3031.00
3840,33-3041.00
3850,33-3051.00
3860,33-3052.00
3900,33-9011.00
3910,33-9021.00
3930,33-9031.00
3930,33-9032.00
3940,33-9091.00
3945,33-9093.00
3955,33-9092.00
3955,33-9094.00
3955,33-9099.00
3955,33-9099.02
4000,35-1011.00
4010,35-1012.00
4020,35-2011.00
4020,35-2012.00
4020,35-2013.00
4020,35-2014.00
4020,35-2015.00
4020,35-2019.00
4030,35-2021.00
4040,35-3011.00
4050,35-3023.00
4060,35-3023.00
4060,35-3023.01
4110,35-3031.00
4120,35-3041.00
4130,35-9011.00
4140,35-9021.00
4150,35-9031.00
4160,35-9099.00
4200,37-1011.00
4210,37-1012.00
4220,37-2011.00
4220,37-2019.00
4230,37-2012.00
4240,37-2021.00
4250,37-3011.00
4250,37-3012.00
4250,37-3013.00
4250,37-3019.00
4300,39-1013.00
4320,11-9179.02
4320,39-1014.00
4320,39-1022.00
4320,53-1044.00
4340,39-2011.00
4350,39-2021.00
4400,39-3011.00
4400,39-3012.00
4400,39-3019.00
4410,39-3021.00
4420,39-3031.00
4430,39-3091.00
4430,39-3092.00
4430,39-3093.00
4430,39-3099.00
4460,39-4011.00
4460,39-4021.00
4465,39-4031.00
4500,39-5011.00
4510,39-5012.00
4520,39-5091.00
4520,39-5092.00
4520,39-5093.00
4520,39-5094.00
4530,39-6011.00
4530,39-6012.00
4540,39-7011.00
4540,39-7012.00
4600,39-9011.00
4600,39-9011.01
4610,31-1122.00
4620,39-9031.00
4620,39-9032.00
4640,39-9041.00
4650,39-4012.00
4650,39-9099.00
4700,41-1011.00
4710,41-1012.00
4720,41-2011.00
4720,41-2012.00
4740,41-2021.00
4750,41-2022.00
4760,41-2031.00
4800,41-3011.00
4810,41-3021.00
4820,41-3031.00
4830,41-3041.00
4840,41-3031.00
4840,41-3091.00
4850,41-4011.00
4850,41-4011.07
4850,41-4012.00
4900,41-9011.00
4900,41-9012.00
4920,41-9021.00
4920,41-9022.00
4930,41-9031.00
4940,41-9041.00
4950,41-9091.00
4965,41-9099.00
5000,43-1011.00
5010,43-2011.00
5020,43-2021.00
5030,43-2099.00
5100,43-3011.00
5110,43-3021.00
5120,43-3031.00
5130,43-3041.00
5140,43-3051.00
5150,43-3061.00
5160,43-3071.00
5165,43-3099.00
5200,43-4011.00
5210,43-4021.00
5220,43-4031.00
5230,43-4041.00
5240,29-2099.08
5240,43-4051.00
5250,43-4061.00
5260,43-4071.00
5300,43-4081.00
5310,43-4111.00
5320,43-4121.00
5330,43-4131.00
5340,43-4141.00
5350,43-4151.00
5360,43-4161.00
5400,43-4171.00
5410,43-4181.00
5420,43-4199.00
5500,43-5011.00
5500,43-5011.01
5510,43-5021.00
5520,43-5031.00
5520,43-5032.00
5530,43-5041.00
5540,43-5051.00
5550,43-5052.00
5560,43-5053.00
5600,43-5061.00
5610,43-5071.00
5620,53-7065.00
5630,43-5111.00
5700,43-6011.00
5700,43-6012.00
5700,43-6013.00
5700,43-6014.00
5800,15-1299.00
5810,43-9021.00
5820,43-9022.00
5830,43-9031.00
5840,43-9041.00
5850,43-9051.00
5860,43-9061.00
5900,43-9071.00
5910,43-9081.00
5920,15-2099.01
5920,43-9111.00
5940,43-9199.00
6005,45-1011.00
6010,45-2011.00
6020,45-2021.00
6040,45-2041.00
6050,45-2091.00
6050,45-2092.00
6050,45-2093.00
6050,45-2099.00
6100,45-3031.00
6110,45-3031.00
6120,45-4011.00
6130,45-4021.00
6130,45-4022.00
6130,45-4023.00
6130,45-4029.00
6200,47-1011.00
6200,47-1011.03
6210,47-2011.00
6220,47-2021.00
6220,47-2022.00
6230,47-2031.00
6240,47-2041.00
6240,47-2042.00
6240,47-2043.00
6240,47-2044.00
6250,47-2051.00
6250,47-2053.00
6260,47-2061.00
6300,47-2071.00
6310,47-2072.00
6320,47-2073.00
6330,47-2081.00
6330,47-2082.00
6355,47-2111.00
6360,47-2121.00
6400,47-2131.00
6400,47-2132.00
6420,47-2141.00
6430,47-2142.00
6440,47-2151.00
6440,47-2152.00
6460,47-2161.00
6500,47-2171.00
6515,47-2181.00
6520,47-2211.00
6530,47-2221.00
6540,47-2231.00
6600,47-3011.00
6600,47-3012.00
6600,47-3013.00
6600,47-3014.00
6600,47-3015.00
6600,47-3016.00
6600,47-3019.00
6660,47-4011.00
6700,47-4021.00
6710,47-4031.00
6720,47-4041.00
6730,47-4051.00
6740,47-4061.00
6750,47-4071.00
6765,47-2152.04
6765,47-4091.00
6765,47-4099.00
6765,47-4099.03
6800,47-5011.00
6800,47-5012.00
6800,47-5013.00
6820,47-5023.00
6820,47-5032.00
6830,47-5032.00
6840,47-5041.00
6840,47-5049.00
6840,47-5099.00
6910,47-5043.00
6920,47-5071.00
6930,47-5081.00
6940,47-5051.00
6940,47-5099.00
7000,49-1011.00
7010,49-2011.00
7020,49-2021.00
7020,49-2022.00
7030,49-2091.00
7040,49-2092.00
7050,49-2093.00
7100,49-2094.00
7100,49-2095.00
7110,49-2096.00
7120,49-2097.00
7130,49-2098.00
7140,49-3011.00
7150,49-3021.00
7160,49-3022.00
7200,49-3023.00
7210,49-3031.00
7220,49-3041.00
7220,49-3042.00
7220,49-3043.00
7240,49-3051.00
7240,49-3052.00
7240,49-3053.00
7260,49-3091.00
7260,49-3092.00
7260,49-3093.00
7300,49-9011.00
7300,49-9012.00
7315,49-9021.00
7320,49-9031.00
7330,49-9041.00
7330,49-9045.00
7340,49-9071.00
7350,49-9043.00
7360,49-9044.00
7410,49-9051.00
7420,49-9052.00
7430,49-9061.00
7430,49-9062.00
7430,49-9063.00
7430,49-9064.00
7430,49-9069.00
7440,49-9081.00
7510,49-9091.00
7520,49-9092.00
7540,49-9094.00
7550,49-9095.00
7560,49-9096.00
7600,49-9097.00
7610,49-9098.00
7630,49-9099.00
7630,49-9099.01
7700,51-1011.00
7710,51-2011.00
7720,51-2021.00
7720,51-2022.00
7720,51-2023.00
7730,51-2031.00
7740,51-2041.00
7750,51-2051.00
7750,51-2061.00
7750,51-2092.00
7750,51-2099.00
7800,51-3011.00
7810,51-3021.00
7810,51-3022.00
7810,51-3023.00
7830,51-3091.00
7840,51-3092.00
7850,51-3093.00
7855,51-3099.00
7900,51-9161.00
7900,51-9162.00
7920,51-4021.00
7930,51-4022.00
7940,51-4023.00
7950,51-4031.00
7960,51-4032.00
8000,51-4033.00
8010,51-4034.00
8020,51-4035.00
8030,51-4041.00
8040,51-4051.00
8040,51-4052.00
8060,51-4061.00
8060,51-4062.00
8100,51-4071.00
8100,51-4072.00
8120,51-4081.00
8130,51-4111.00
8140,51-4121.00
8140,51-4122.00
8150,51-4191.00
8160,51-4192.00
8200,51-4193.00
8210,51-4194.00
8220,51-4199.00
8250,51-5111.00
8255,51-5112.00
8256,51-5113.00
8300,51-6011.00
8310,51-6021.00
8320,51-6031.00
8330,51-6041.00
8340,51-6042.00
8350,51-6051.00
8350,51-6052.00
8360,51-6061.00
8400,51-6062.00
8410,51-6063.00
